itemID,rating,userID,timestamp
0,3,0,1388188800
1,5,0,1388188800
2,5,0,1388188800
3,4,0,1387756800
4,5,0,1387497600
5,5,0,1387756800
6,5,0,1387756800
7,5,0,1388188800
8,4,0,1387756800
9,5,0,1388188800
10,5,0,1388188800
11,3,0,1387756800
12,5,0,1387756800
13,5,0,1387756800
14,3,0,1387756800
15,5,0,1387756800
16,2,0,1387756800
17,4,0,1387497600
18,5,0,1387497600
19,4,0,1398988800
20,5,0,1388188800
21,4,0,1387497600
22,5,0,1396224000
23,5,0,1387756800
24,2,0,1387497600
25,5,0,1388188800
26,5,0,1368662400
27,5,1,1379116800
28,5,1,1367020800
29,5,1,1376352000
30,4,1,1386374400
31,5,1,1377129600
32,5,1,1369094400
33,5,1,1375056000
34,5,1,1367020800
35,5,1,1374883200
36,5,1,1370217600
37,5,1,1367366400
38,5,1,1386979200
39,4,1,1376352000
40,5,1,1376352000
41,5,1,1374883200
42,5,1,1386633600
43,4,1,1389398400
44,5,1,1361145600
45,5,1,1367020800
46,5,1,1361145600
47,4,1,1387670400
48,5,1,1370822400
49,5,1,1369440000
50,5,1,1361577600
51,5,1,1386028800
52,5,1,1376352000
53,3,1,1391817600
54,5,1,1367107200
55,5,1,1370908800
56,5,1,1378425600
57,5,1,1374796800
58,5,1,1389484800
59,5,1,1370908800
60,5,1,1400198400
61,3,1,1404432000
62,4,1,1402963200
63,5,2,1369958400
15,5,2,1315526400
64,5,2,1325030400
65,5,2,1357344000
66,5,2,1215648000
67,5,2,1198886400
68,5,2,1197504000
69,5,2,1220832000
70,5,2,1215648000
71,5,2,1220832000
72,5,2,1215648000
73,5,2,1231632000
74,5,2,1357344000
75,5,2,1384646400
76,4,2,1257724800
77,5,2,1378339200
78,5,2,1378252800
79,5,2,1284163200
80,5,2,1278288000
81,4,2,1378252800
82,5,2,1309996800
83,5,2,1289174400
84,3,2,1277769600
85,5,2,1277769600
86,5,2,1277769600
87,5,2,1273276800
88,3,2,1384646400
89,1,2,1289433600
90,5,2,1357689600
91,5,2,1357084800
92,4,2,1325030400
93,4,2,1315440000
94,5,2,1384646400
95,5,2,1377907200
96,5,2,1377907200
97,5,2,1354924800
98,5,3,1229299200
99,5,3,1200700800
100,4,3,1220572800
101,5,3,1229472000
102,1,3,1253664000
103,5,3,1232323200
104,5,3,1268352000
105,5,3,1255392000
106,5,3,1293062400
107,5,3,1286323200
108,5,3,1251676800
109,5,3,1285113600
110,5,3,1320364800
111,5,3,1290556800
112,5,3,1301875200
113,5,3,1297987200
114,5,3,1291939200
115,5,3,1290038400
116,5,3,1304294400
117,5,3,1297987200
118,5,3,1329436800
119,5,3,1371686400
120,5,3,1353542400
121,4,3,1399507200
122,5,4,1394841600
123,5,4,1356998400
124,5,4,1356998400
125,5,4,1394841600
126,4,4,1394841600
127,5,4,1379376000
128,5,4,1356998400
129,5,4,1356998400
130,1,4,1388275200
121,1,4,1394841600
131,1,4,1395360000
132,1,4,1390176000
133,5,4,1394841600
134,4,4,1394841600
135,5,4,1395100800
136,5,4,1394496000
137,5,4,1388275200
138,5,4,1395619200
139,5,4,1399593600
140,1,4,1394841600
141,5,4,1402617600
142,5,5,984009600
143,4,5,970963200
144,3,5,1205971200
145,3,5,1206662400
146,2,5,1203552000
147,4,5,1198972800
148,5,5,1226361600
149,4,5,1219276800
150,3,5,1226966400
151,5,5,1224720000
152,4,5,1231891200
153,4,5,1243382400
154,5,5,1270166400
155,4,5,1270252800
156,5,5,1274832000
113,5,5,1295827200
157,5,5,1283990400
158,3,5,1290470400
159,5,5,1301184000
160,4,5,1395273600
161,5,5,1307664000
162,5,5,1329004800
163,4,5,1342569600
164,2,5,1350432000
165,3,5,1323820800
166,4,5,1326672000
167,5,5,1358380800
168,5,5,1387324800
169,1,6,1217116800
170,5,6,1216598400
171,1,6,1216252800
172,1,6,1253664000
173,4,6,1305072000
174,5,6,1257811200
175,5,6,1265068800
176,1,6,1253664000
177,2,6,1266364800
178,2,6,1302134400
82,5,6,1305590400
117,5,6,1302480000
179,5,6,1301788800
180,2,6,1299888000
181,5,6,1358899200
182,1,6,1396742400
130,5,6,1392249600
131,5,6,1395446400
183,5,6,1404950400
184,2,6,1394496000
185,4,6,1395187200
186,5,6,1392249600
187,5,7,1103414400
188,5,7,1123545600
189,1,7,1093046400
190,5,7,1105056000
191,5,7,1113350400
192,4,7,1150675200
193,5,7,1114128000
194,5,7,1150243200
195,5,7,1121126400
196,4,7,1122768000
197,1,7,1177113600
198,1,7,1156723200
199,4,7,1205107200
